benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
abalone_benchmark_0001.csv,ABOD,0.5613,0.7881,0.5814,0.9167
abalone_benchmark_0001.csv,KNN,0.5546,0.755,0.5734,0.8857
abalone_benchmark_0001.csv,IForest,0.5162,0.5629,0.518,0.5789
abalone_benchmark_0001.csv,HBOS,0.5427,0.6954,0.5524,0.7568
abalone_benchmark_0001.csv,LOF,0.5135,0.5497,0.5181,0.575
abalone_benchmark_0001.csv,CBLOF,0.491,0.4371,0.5045,0.5152
abalone_benchmark_0002.csv,ABOD,0.5521,0.7682,0.5555,0.7778
abalone_benchmark_0002.csv,KNN,0.5627,0.8212,0.5879,0.8478
abalone_benchmark_0002.csv,IForest,0.4977,0.4967,0.4896,0.439
abalone_benchmark_0002.csv,HBOS,0.5216,0.6159,0.5213,0.5897
abalone_benchmark_0002.csv,LOF,0.5189,0.6026,0.5271,0.5957
abalone_benchmark_0002.csv,CBLOF,0.4991,0.5033,0.5081,0.525
abalone_benchmark_0003.csv,ABOD,0.5573,0.8013,0.5342,0.7429
abalone_benchmark_0003.csv,KNN,0.5639,0.8344,0.5419,0.7778
abalone_benchmark_0003.csv,IForest,0.495,0.4901,0.4795,0.4333
abalone_benchmark_0003.csv,HBOS,0.5463,0.7721,0.554,0.875
abalone_benchmark_0003.csv,LOF,0.5016,0.5232,0.4987,0.5556
abalone_benchmark_0003.csv,CBLOF,0.5586,0.8079,0.5265,0.7059
abalone_benchmark_0004.csv,ABOD,0.5568,0.7616,0.5264,0.6296
abalone_benchmark_0004.csv,KNN,0.5621,0.7881,0.5323,0.6552
abalone_benchmark_0004.csv,IForest,0.505,0.5033,0.4595,0.2826
abalone_benchmark_0004.csv,HBOS,0.5481,0.723,0.5244,0.5641
abalone_benchmark_0004.csv,LOF,0.5236,0.596,0.49,0.3871
abalone_benchmark_0004.csv,CBLOF,0.5648,0.8013,0.5299,0.6333
abalone_benchmark_0005.csv,ABOD,0.5472,0.7285,0.5482,0.7045
abalone_benchmark_0005.csv,KNN,0.5551,0.7682,0.5587,0.7895
abalone_benchmark_0005.csv,IForest,0.5021,0.5033,0.5138,0.5581
abalone_benchmark_0005.csv,HBOS,0.5372,0.6824,0.5536,0.7174
abalone_benchmark_0005.csv,LOF,0.514,0.5629,0.5165,0.5682
abalone_benchmark_0005.csv,CBLOF,0.514,0.5629,0.5138,0.561
abalone_benchmark_0006.csv,ABOD,0.5605,0.8079,0.5493,0.7273
abalone_benchmark_0006.csv,KNN,0.5592,0.8013,0.5629,0.8205
abalone_benchmark_0006.csv,IForest,0.5009,0.5099,0.4907,0.4792
abalone_benchmark_0006.csv,HBOS,0.5221,0.6174,0.517,0.58
abalone_benchmark_0006.csv,LOF,0.5023,0.5166,0.4987,0.5106
abalone_benchmark_0006.csv,CBLOF,0.5473,0.7417,0.5363,0.6829
abalone_benchmark_0007.csv,ABOD,0.5592,0.7881,0.5714,0.8462
abalone_benchmark_0007.csv,KNN,0.5632,0.8079,0.5794,0.8947
abalone_benchmark_0007.csv,IForest,0.5195,0.5894,0.5317,0.6364
abalone_benchmark_0007.csv,HBOS,0.5497,0.7874,0.5635,0.8
abalone_benchmark_0007.csv,LOF,0.5142,0.5629,0.5159,0.5938
abalone_benchmark_0007.csv,CBLOF,0.5526,0.755,0.5661,0.7778
abalone_benchmark_0008.csv,ABOD,0.5468,0.7483,0.5621,0.8667
abalone_benchmark_0008.csv,KNN,0.5521,0.7748,0.5808,0.9677
abalone_benchmark_0008.csv,IForest,0.4832,0.4305,0.4823,0.3571
abalone_benchmark_0008.csv,HBOS,0.5441,0.7351,0.5162,0.6087
abalone_benchmark_0008.csv,LOF,0.507,0.5497,0.523,0.6
abalone_benchmark_0008.csv,CBLOF,0.5455,0.7417,0.5573,0.7941
abalone_benchmark_0009.csv,ABOD,0.5551,0.7682,0.5338,0.7273
abalone_benchmark_0009.csv,KNN,0.5684,0.8344,0.5346,0.7586
abalone_benchmark_0009.csv,IForest,0.5154,0.5695,0.4981,0.52
abalone_benchmark_0009.csv,HBOS,0.5491,0.7432,0.5247,0.72
abalone_benchmark_0009.csv,LOF,0.5154,0.5695,0.4995,0.5312
abalone_benchmark_0009.csv,CBLOF,0.4928,0.457,0.4875,0.44
abalone_benchmark_0010.csv,ABOD,0.5577,0.7881,0.5641,0.7727
abalone_benchmark_0010.csv,KNN,0.5657,0.8278,0.5481,0.7812
abalone_benchmark_0010.csv,IForest,0.4875,0.4371,0.4873,0.4324
abalone_benchmark_0010.csv,HBOS,0.5485,0.7417,0.5481,0.75
abalone_benchmark_0010.csv,LOF,0.518,0.5894,0.527,0.625
abalone_benchmark_0010.csv,CBLOF,0.4942,0.4702,0.4794,0.4
abalone_benchmark_0011.csv,ABOD,0.5702,0.8477,0.5374,0.7222
abalone_benchmark_0011.csv,KNN,0.5715,0.8543,0.5435,0.8
abalone_benchmark_0011.csv,IForest,0.5119,0.5563,0.4877,0.4516
abalone_benchmark_0011.csv,HBOS,0.547,0.75,0.5301,0.7097
abalone_benchmark_0011.csv,LOF,0.5238,0.6159,0.5,0.5263
abalone_benchmark_0011.csv,CBLOF,0.5066,0.5298,0.493,0.4839
abalone_benchmark_0012.csv,ABOD,0.5653,0.8212,0.5658,0.8611
abalone_benchmark_0012.csv,KNN,0.564,0.8146,0.5609,0.875
abalone_benchmark_0012.csv,IForest,0.4977,0.4834,0.4784,0.4054
abalone_benchmark_0012.csv,HBOS,0.5388,0.6939,0.5163,0.6296
abalone_benchmark_0012.csv,LOF,0.5057,0.5232,0.5238,0.6562
abalone_benchmark_0012.csv,CBLOF,0.511,0.5497,0.497,0.5
abalone_benchmark_0013.csv,ABOD,0.5544,0.7881,0.5377,0.697
abalone_benchmark_0013.csv,KNN,0.5663,0.8477,0.5451,0.7857
abalone_benchmark_0013.csv,IForest,0.5199,0.6159,0.492,0.4231
abalone_benchmark_0013.csv,HBOS,0.5398,0.7152,0.5265,0.6667
abalone_benchmark_0013.csv,LOF,0.5239,0.6358,0.5004,0.4839
abalone_benchmark_0013.csv,CBLOF,0.4973,0.5033,0.4869,0.3929
abalone_benchmark_0014.csv,ABOD,0.5537,0.755,0.5469,0.7714
abalone_benchmark_0014.csv,KNN,0.5643,0.8079,0.5447,0.8
abalone_benchmark_0014.csv,IForest,0.5046,0.5099,0.4774,0.4146
abalone_benchmark_0014.csv,HBOS,0.5391,0.6821,0.5304,0.6585
abalone_benchmark_0014.csv,LOF,0.5205,0.5894,0.5124,0.5833
abalone_benchmark_0014.csv,CBLOF,0.5537,0.755,0.5675,0.8293
abalone_benchmark_0015.csv,ABOD,0.565,0.8212,0.5165,0.6429
abalone_benchmark_0015.csv,KNN,0.5677,0.8344,0.5278,0.75
abalone_benchmark_0015.csv,IForest,0.4988,0.4901,0.4956,0.5
abalone_benchmark_0015.csv,HBOS,0.5425,0.7086,0.53,0.7407
abalone_benchmark_0015.csv,LOF,0.5121,0.5563,0.4957,0.5122
abalone_benchmark_0015.csv,CBLOF,0.5094,0.543,0.4988,0.5217
abalone_benchmark_0016.csv,ABOD,0.5581,0.7881,0.5411,0.7667
abalone_benchmark_0016.csv,KNN,0.5595,0.7947,0.5515,0.7941
abalone_benchmark_0016.csv,IForest,0.5065,0.5298,0.4827,0.4118
abalone_benchmark_0016.csv,HBOS,0.5528,0.7616,0.5116,0.5641
abalone_benchmark_0016.csv,LOF,0.5105,0.5497,0.5114,0.5581
abalone_benchmark_0016.csv,CBLOF,0.5515,0.755,0.5276,0.6571
abalone_benchmark_0017.csv,ABOD,0.5552,0.755,0.5573,0.8235
abalone_benchmark_0017.csv,KNN,0.5671,0.8146,0.5547,0.8621
abalone_benchmark_0017.csv,IForest,0.5101,0.5298,0.5256,0.6562
abalone_benchmark_0017.csv,HBOS,0.5451,0.7123,0.5572,0.8056
abalone_benchmark_0017.csv,LOF,0.518,0.5695,0.5175,0.6
abalone_benchmark_0017.csv,CBLOF,0.4915,0.4371,0.494,0.4615
abalone_benchmark_0018.csv,ABOD,0.5498,0.755,0.5381,0.7241
abalone_benchmark_0018.csv,KNN,0.5511,0.7616,0.5268,0.6957
abalone_benchmark_0018.csv,IForest,0.5114,0.5629,0.4725,0.3235
abalone_benchmark_0018.csv,HBOS,0.5419,0.7241,0.4851,0.3793
abalone_benchmark_0018.csv,LOF,0.5127,0.5695,0.4949,0.4545
abalone_benchmark_0018.csv,CBLOF,0.5551,0.7815,0.5283,0.6286
abalone_benchmark_0019.csv,ABOD,0.5654,0.8278,0.5537,0.8049
abalone_benchmark_0019.csv,KNN,0.5707,0.8543,0.5533,0.8529
abalone_benchmark_0019.csv,IForest,0.5151,0.5762,0.5,0.561
abalone_benchmark_0019.csv,HBOS,0.5555,0.7958,0.5376,0.7317
abalone_benchmark_0019.csv,LOF,0.5191,0.596,0.5114,0.6154
abalone_benchmark_0019.csv,CBLOF,0.4979,0.4901,0.4751,0.4286
abalone_benchmark_0020.csv,ABOD,0.557,0.7815,0.549,0.7812
abalone_benchmark_0020.csv,KNN,0.5623,0.8079,0.5407,0.8
abalone_benchmark_0020.csv,IForest,0.5079,0.5364,0.4906,0.4286
abalone_benchmark_0020.csv,HBOS,0.543,0.7192,0.5198,0.6129
abalone_benchmark_0020.csv,LOF,0.5066,0.5298,0.5146,0.5758
abalone_benchmark_0020.csv,CBLOF,0.557,0.7815,0.5382,0.75
abalone_benchmark_0021.csv,ABOD,0.563,0.8278,0.5577,0.7838
abalone_benchmark_0021.csv,KNN,0.5603,0.8146,0.5762,0.8684
abalone_benchmark_0021.csv,IForest,0.494,0.4834,0.5313,0.641
abalone_benchmark_0021.csv,HBOS,0.5524,0.7748,0.5528,0.7111
abalone_benchmark_0021.csv,LOF,0.5073,0.5497,0.5047,0.5135
abalone_benchmark_0021.csv,CBLOF,0.4914,0.4702,0.5071,0.5312
abalone_benchmark_0022.csv,ABOD,0.5551,0.7616,0.5891,0.8431
abalone_benchmark_0022.csv,KNN,0.5657,0.8146,0.5792,0.878
abalone_benchmark_0022.csv,IForest,0.5061,0.5166,0.5315,0.6585
abalone_benchmark_0022.csv,HBOS,0.5418,0.698,0.5816,0.8636
abalone_benchmark_0022.csv,LOF,0.5141,0.5563,0.5268,0.6667
abalone_benchmark_0022.csv,CBLOF,0.4995,0.4834,0.5162,0.6061
abalone_benchmark_0023.csv,ABOD,0.5404,0.702,0.5655,0.825
abalone_benchmark_0023.csv,KNN,0.5523,0.7616,0.5708,0.85
abalone_benchmark_0023.csv,IForest,0.5179,0.5894,0.5076,0.5556
abalone_benchmark_0023.csv,HBOS,0.5384,0.6933,0.539,0.7
abalone_benchmark_0023.csv,LOF,0.5099,0.5497,0.531,0.6585
abalone_benchmark_0023.csv,CBLOF,0.4993,0.4967,0.496,0.5
abalone_benchmark_0024.csv,ABOD,0.5658,0.8212,0.5616,0.7708
abalone_benchmark_0024.csv,KNN,0.5685,0.8344,0.5569,0.7727
abalone_benchmark_0024.csv,IForest,0.5301,0.6424,0.5338,0.6923
abalone_benchmark_0024.csv,HBOS,0.5511,0.7778,0.5506,0.8182
abalone_benchmark_0024.csv,LOF,0.5168,0.5762,0.5104,0.566
abalone_benchmark_0024.csv,CBLOF,0.5738,0.8609,0.565,0.814
abalone_benchmark_0025.csv,ABOD,0.5521,0.755,0.5816,0.7959
abalone_benchmark_0025.csv,KNN,0.564,0.8146,0.5814,0.8085
abalone_benchmark_0025.csv,IForest,0.5017,0.5033,0.5139,0.5588
abalone_benchmark_0025.csv,HBOS,0.5593,0.7933,0.5703,0.8049
abalone_benchmark_0025.csv,LOF,0.5057,0.5232,0.5235,0.5686
abalone_benchmark_0025.csv,CBLOF,0.5613,0.8013,0.5716,0.7273
abalone_benchmark_0026.csv,ABOD,0.5493,0.7616,0.5212,0.6296
abalone_benchmark_0026.csv,KNN,0.5599,0.8146,0.5369,0.76
abalone_benchmark_0026.csv,IForest,0.5029,0.5298,0.4558,0.25
abalone_benchmark_0026.csv,HBOS,0.5583,0.8485,0.5133,0.5714
abalone_benchmark_0026.csv,LOF,0.5148,0.5894,0.467,0.3333
abalone_benchmark_0026.csv,CBLOF,0.5162,0.596,0.4855,0.4146
abalone_benchmark_0027.csv,ABOD,0.5666,0.8146,0.5148,0.6154
abalone_benchmark_0027.csv,KNN,0.5679,0.8212,0.5436,0.7576
abalone_benchmark_0027.csv,IForest,0.5347,0.6556,0.5042,0.5385
abalone_benchmark_0027.csv,HBOS,0.5553,0.76,0.536,0.7917
abalone_benchmark_0027.csv,LOF,0.5069,0.5166,0.5012,0.5143
abalone_benchmark_0027.csv,CBLOF,0.5798,0.8808,0.5465,0.8462
abalone_benchmark_0028.csv,ABOD,0.5552,0.7815,0.5405,0.7576
abalone_benchmark_0028.csv,KNN,0.5632,0.8212,0.5581,0.8
abalone_benchmark_0028.csv,IForest,0.5076,0.543,0.5028,0.5405
abalone_benchmark_0028.csv,HBOS,0.5473,0.7417,0.5558,0.8108
abalone_benchmark_0028.csv,LOF,0.5102,0.5563,0.5109,0.5833
abalone_benchmark_0028.csv,CBLOF,0.4943,0.4768,0.4838,0.45
abalone_benchmark_0029.csv,ABOD,0.5491,0.7417,0.5601,0.9062
abalone_benchmark_0029.csv,KNN,0.5637,0.8146,0.5744,0.9211
abalone_benchmark_0029.csv,IForest,0.5068,0.5298,0.4845,0.4706
abalone_benchmark_0029.csv,HBOS,0.5571,0.7931,0.5351,0.7429
abalone_benchmark_0029.csv,LOF,0.5094,0.543,0.5327,0.7353
abalone_benchmark_0029.csv,CBLOF,0.5703,0.8477,0.5607,0.8462
abalone_benchmark_0030.csv,ABOD,0.5547,0.7815,0.5688,0.8611
abalone_benchmark_0030.csv,KNN,0.56,0.8079,0.5661,0.8378
abalone_benchmark_0030.csv,IForest,0.5163,0.5894,0.5,0.5
abalone_benchmark_0030.csv,HBOS,0.5482,0.7586,0.537,0.7059
abalone_benchmark_0030.csv,LOF,0.4991,0.5033,0.5159,0.5833
abalone_benchmark_0030.csv,CBLOF,0.4951,0.4834,0.4894,0.4375
abalone_benchmark_0031.csv,ABOD,0.5589,0.7947,0.5602,0.7381
abalone_benchmark_0031.csv,KNN,0.5656,0.8278,0.5567,0.7568
