benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
wine_benchmark_0001.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0001.csv,KNN,0.5243,0.4714,0.5325,0.5303
wine_benchmark_0001.csv,IForest,0.5228,0.4646,0.5195,0.4571
wine_benchmark_0001.csv,HBOS,0.5221,0.4613,0.5009,0.3662
wine_benchmark_0001.csv,LOF,0.5191,0.4478,0.5248,0.4923
wine_benchmark_0001.csv,CBLOF,0.5206,0.4545,0.5408,0.5556
wine_benchmark_0002.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0002.csv,KNN,0.5155,0.4155,0.5365,0.5538
wine_benchmark_0002.csv,IForest,0.5123,0.4007,0.5014,0.3692
wine_benchmark_0002.csv,HBOS,0.5175,0.4242,0.5219,0.4769
wine_benchmark_0002.csv,LOF,0.5152,0.4141,0.5347,0.52
wine_benchmark_0002.csv,CBLOF,0.5182,0.4276,0.5283,0.5
wine_benchmark_0003.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0003.csv,KNN,0.5233,0.4747,0.5321,0.5
wine_benchmark_0003.csv,IForest,0.5219,0.468,0.5023,0.3659
wine_benchmark_0003.csv,HBOS,0.5134,0.4291,0.5168,0.4235
wine_benchmark_0003.csv,LOF,0.5248,0.4815,0.5105,0.4026
wine_benchmark_0003.csv,CBLOF,0.5306,0.5084,0.5199,0.4559
wine_benchmark_0004.csv,ABOD,0.5094,0.4209,0.5233,0.4444
wine_benchmark_0004.csv,KNN,0.5195,0.468,0.5347,0.4792
wine_benchmark_0004.csv,IForest,0.5065,0.4074,0.5225,0.4595
wine_benchmark_0004.csv,HBOS,0.5152,0.4478,0.5122,0.4074
wine_benchmark_0004.csv,LOF,0.5152,0.4478,0.5482,0.52
wine_benchmark_0004.csv,CBLOF,0.5087,0.4175,0.5252,0.4505
wine_benchmark_0005.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0005.csv,KNN,0.5305,0.4983,0.5314,0.4941
wine_benchmark_0005.csv,IForest,0.5165,0.4343,0.5055,0.3902
wine_benchmark_0005.csv,HBOS,0.5195,0.4478,0.5087,0.4051
wine_benchmark_0005.csv,LOF,0.5261,0.4781,0.5172,0.4507
wine_benchmark_0005.csv,CBLOF,0.5146,0.4257,0.5268,0.4674
wine_benchmark_0006.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0006.csv,KNN,0.5165,0.4512,0.5223,0.5147
wine_benchmark_0006.csv,IForest,0.5129,0.4343,0.4999,0.3977
wine_benchmark_0006.csv,HBOS,0.5084,0.4136,0.5174,0.4667
wine_benchmark_0006.csv,LOF,0.5172,0.4545,0.524,0.5135
wine_benchmark_0006.csv,CBLOF,0.5136,0.4377,0.5173,0.475
wine_benchmark_0007.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0007.csv,KNN,0.5175,0.4662,0.5294,0.5156
wine_benchmark_0007.csv,IForest,0.5158,0.4579,0.5292,0.5075
wine_benchmark_0007.csv,HBOS,0.5122,0.4411,0.5259,0.4643
wine_benchmark_0007.csv,LOF,0.5108,0.4343,0.5211,0.4828
wine_benchmark_0007.csv,CBLOF,0.5143,0.4512,0.5298,0.5345
wine_benchmark_0008.csv,ABOD,0.5078,0.3906,0.5336,0.475
wine_benchmark_0008.csv,KNN,0.5248,0.468,0.5317,0.4795
wine_benchmark_0008.csv,IForest,0.5152,0.4242,0.5126,0.4032
wine_benchmark_0008.csv,HBOS,0.5204,0.4478,0.5146,0.4127
wine_benchmark_0008.csv,LOF,0.5211,0.4512,0.5175,0.4133
wine_benchmark_0008.csv,CBLOF,0.5189,0.4411,0.5216,0.4324
wine_benchmark_0009.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0009.csv,KNN,0.5265,0.4882,0.513,0.4337
wine_benchmark_0009.csv,IForest,0.5207,0.4613,0.5206,0.4737
wine_benchmark_0009.csv,HBOS,0.5192,0.4545,0.5041,0.3974
wine_benchmark_0009.csv,LOF,0.5178,0.4478,0.5102,0.4267
wine_benchmark_0009.csv,CBLOF,0.5214,0.4646,0.5019,0.3875
wine_benchmark_0010.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0010.csv,KNN,0.5128,0.4242,0.5374,0.5352
wine_benchmark_0010.csv,IForest,0.5092,0.4074,0.5479,0.5733
wine_benchmark_0010.csv,HBOS,0.5092,0.4074,0.5369,0.5556
wine_benchmark_0010.csv,LOF,0.5138,0.4291,0.524,0.4568
wine_benchmark_0010.csv,CBLOF,0.5136,0.4276,0.5263,0.4737
wine_benchmark_0011.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0011.csv,KNN,0.526,0.4714,0.5073,0.3898
wine_benchmark_0011.csv,IForest,0.5113,0.404,0.5059,0.3768
wine_benchmark_0011.csv,HBOS,0.5186,0.4377,0.5163,0.4177
wine_benchmark_0011.csv,LOF,0.5186,0.4377,0.5061,0.381
wine_benchmark_0011.csv,CBLOF,0.5172,0.431,0.5105,0.3947
wine_benchmark_0012.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0012.csv,KNN,0.5237,0.4882,0.5238,0.4595
wine_benchmark_0012.csv,IForest,0.5208,0.4747,0.5236,0.4545
wine_benchmark_0012.csv,HBOS,0.5187,0.4646,0.5041,0.3699
wine_benchmark_0012.csv,LOF,0.5201,0.4714,0.522,0.4571
wine_benchmark_0012.csv,CBLOF,0.5216,0.4781,0.5118,0.4026
wine_benchmark_0013.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0013.csv,KNN,0.5207,0.4613,0.5215,0.4875
wine_benchmark_0013.csv,IForest,0.5119,0.4209,0.5329,0.5294
wine_benchmark_0013.csv,HBOS,0.5083,0.404,0.5353,0.5269
wine_benchmark_0013.csv,LOF,0.5134,0.4276,0.5173,0.4789
wine_benchmark_0013.csv,CBLOF,0.5178,0.4478,0.5305,0.5244
wine_benchmark_0014.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0014.csv,KNN,0.5275,0.4916,0.5154,0.4419
wine_benchmark_0014.csv,IForest,0.5136,0.4276,0.5003,0.3804
wine_benchmark_0014.csv,HBOS,0.5136,0.4276,0.5233,0.4762
wine_benchmark_0014.csv,LOF,0.5158,0.4377,0.5058,0.4023
wine_benchmark_0014.csv,CBLOF,0.5224,0.468,0.5062,0.4048
wine_benchmark_0015.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0015.csv,KNN,0.5214,0.4646,0.5065,0.3924
wine_benchmark_0015.csv,IForest,0.5127,0.4242,0.512,0.4146
wine_benchmark_0015.csv,HBOS,0.5221,0.468,0.5221,0.4494
wine_benchmark_0015.csv,LOF,0.5221,0.468,0.5072,0.3951
